[[-433.96354280488055], [198.90357700878297], [3.2084414978016866]]
[[-433.96354280488055], [198.2906229962295], [3.2084414978016866]]
[[-433.96354280488055], [197.67766898367609], [3.2084414978016866]]
[[-433.96354280488055], [197.06471497112264], [3.2084414978016866]]
[[-433.96354280488055], [196.45176095856922], [3.2084414978016866]]
[[-433.96354280488055], [195.83880694601578], [3.2084414978016866]]
[[-433.96354280488055], [195.2258529334624], [3.2084414978016866]]
[[-433.96354280488055], [194.612898920909], [3.2084414978016866]]
[[-433.96354280488055], [193.99994490835553], [3.2084414978016866]]
[[-433.96354280488055], [193.38699089580209], [3.2084414978016866]]
[[-433.96354280488055], [192.77403688324867], [3.2084414978016866]]
[[-433.96354280488055], [192.16108287069528], [3.2084414978016866]]
[[-433.96354280488055], [191.5481288581418], [3.2084414978016866]]
[[-433.96354280488055], [190.9351748455884], [3.2084414978016866]]
[[-433.96354280488055], [190.322220833035], [3.2084414978016866]]
[[-433.96354280488055], [189.70926682048156], [3.2084414978016866]]
[[-433.96354280488055], [189.09631280792817], [3.2084414978016866]]
[[-433.96354280488055], [188.48335879537473], [3.2084414978016866]]
[[-433.96354280488055], [187.87040478282128], [3.2084414978016866]]
[[-433.96354280488055], [187.25745077026775], [3.2084414978016866]]
[[-433.96354280488055], [186.6444967577144], [3.2084414978016866]]
[[-433.96354280488055], [186.03154274516103], [3.2084414978016866]]
[[-433.96354280488055], [185.41858873260753], [3.2084414978016866]]
[[-433.96354280488055], [184.80563472005414], [3.2084414978016866]]
[[-433.96354280488055], [184.19268070750067], [3.2084414978016866]]
[[-433.96354280488055], [183.57972669494728], [3.2084414978016866]]
[[-433.96354280488055], [182.96677268239384], [3.2084414978016866]]
[[-433.96354280488055], [182.3538186698404], [3.2084414978016866]]
[[-433.96354280488055], [181.740864657287], [3.2084414978016866]]
[[-433.96354280488055], [181.1279106447336], [3.2084414978016866]]
[[-433.96354280488055], [180.51495663218014], [3.2084414978016866]]
[[-433.96354280488055], [179.9020026196267], [3.2084414978016866]]
[[-433.96354280488055], [179.28904860707325], [3.2084414978016866]]
[[-433.96354280488055], [178.6760945945198], [3.2084414978016866]]
[[-433.96354280488055], [178.06314058196637], [3.2084414978016866]]
[[-433.96354280488055], [177.45018656941295], [3.2084414978016866]]
[[-433.96354280488055], [176.83723255685956], [3.2084414978016866]]
[[-433.96354280488055], [176.22427854430615], [3.2084414978016866]]
[[-433.96354280488055], [175.61132453175267], [3.2084414978016866]]
[[-433.96354280488055], [174.99837051919926], [3.2084414978016866]]
[[-433.96354280488055], [174.38541650664587], [3.2084414978016866]]
[[-433.96354280488055], [173.77246249409242], [3.2084414978016866]]
[[-433.96354280488055], [173.159508481539], [3.2084414978016866]]
[[-433.96354280488055], [172.5465544689856], [3.2084414978016866]]
[[-433.96354280488055], [171.93360045643212], [3.2084414978016866]]
[[-433.96354280488055], [171.32064644387873], [3.2084414978016866]]
[[-433.96354280488055], [170.70769243132526], [3.2084414978016866]]
[[-433.96354280488055], [170.09473841877184], [3.2084414978016866]]
[[-433.96354280488055], [169.48178440621845], [3.2084414978016866]]
[[-433.96354280488055], [168.868830393665], [3.2084414978016866]]
[[-433.96354280488055], [168.2558763811116], [3.2084414978016866]]
[[-433.96354280488055], [167.6429223685581], [3.2084414978016866]]
[[-433.96354280488055], [167.02996835600473], [3.2084414978016866]]
[[-433.96354280488055], [166.41701434345129], [3.2084414978016866]]
[[-433.96354280488055], [165.80406033089787], [3.2084414978016866]]
[[-433.96354280488055], [165.19110631834445], [3.2084414978016866]]
[[-433.96354280488055], [164.578152305791], [3.2084414978016866]]
[[-433.96354280488055], [163.96519829323756], [3.2084414978016866]]
[[-433.96354280488055], [163.35224428068418], [3.2084414978016866]]
[[-433.96354280488055], [162.73929026813073], [3.2084414978016866]]
[[-433.96354280488055], [162.1263362555773], [3.2084414978016866]]
[[-433.96354280488055], [161.51338224302387], [3.2084414978016866]]
[[-433.96354280488055], [160.90042823047042], [3.2084414978016866]]
[[-433.96354280488055], [160.28747421791704], [3.2084414978016866]]
[[-433.96354280488055], [159.6745202053636], [3.2084414978016866]]
[[-433.96354280488055], [159.06156619281018], [3.2084414978016866]]
[[-433.96354280488055], [158.44861218025673], [3.2084414978016866]]
[[-433.96354280488055], [157.8356581677033], [3.2084414978016866]]
[[-433.96354280488055], [157.22270415514987], [3.2084414978016866]]
[[-433.96354280488055], [156.6097501425964], [3.2084414978016866]]
[[-433.96354280488055], [155.99679613004304], [3.2084414978016866]]
[[-433.96354280488055], [155.38384211748954], [3.2084414978016866]]
[[-433.96354280488055], [154.7708881049362], [3.2084414978016866]]
[[-433.96354280488055], [154.1579340923827], [3.2084414978016866]]
[[-433.96354280488055], [153.54498007982932], [3.2084414978016866]]
[[-433.96354280488055], [152.9320260672759], [3.2084414978016866]]
[[-433.96354280488055], [152.3190720547224], [3.2084414978016866]]
[[-433.96354280488055], [151.70611804216904], [3.2084414978016866]]
[[-433.96354280488055], [151.0931640296156], [3.2084414978016866]]
[[-433.96354280488055], [150.48021001706218], [3.2084414978016866]]
[[-433.96354280488055], [149.86725600450876], [3.2084414978016866]]
[[-433.96354280488055], [149.2543019919553], [3.2084414978016866]]
[[-433.96354280488055], [148.6413479794019], [3.2084414978016866]]
[[-433.96354280488055], [148.02839396684843], [3.2084414978016866]]
[[-433.96354280488055], [147.41543995429498], [3.2084414978016866]]
[[-433.96354280488055], [146.8024859417416], [3.2084414978016866]]
[[-433.96354280488055], [146.18953192918815], [3.2084414978016866]]
[[-433.96354280488055], [145.5765779166348], [3.2084414978016866]]
[[-433.96354280488055], [144.96362390408132], [3.2084414978016866]]
[[-433.96354280488055], [144.3506698915279], [3.2084414978016866]]
[[-433.96354280488055], [143.73771587897446], [3.2084414978016866]]
[[-433.96354280488055], [143.124761866421], [3.2084414978016866]]
[[-433.96354280488055], [142.51180785386765], [3.2084414978016866]]
[[-433.96354280488055], [141.89885384131418], [3.2084414978016866]]
[[-433.96354280488055], [141.28589982876076], [3.2084414978016866]]
[[-433.96354280488055], [140.67294581620732], [3.2084414978016866]]
[[-433.96354280488055], [140.0599918036539], [3.2084414978016866]]
[[-433.96354280488055], [139.44703779110046], [3.2084414978016866]]
[[-433.96354280488055], [138.83408377854704], [3.2084414978016866]]
[[-433.96354280488055], [138.22112976599357], [3.2084414978016866]]
[[-433.96354280488055], [137.6081757534402], [3.2084414978016866]]
[[-433.96354280488055], [136.99522174088676], [3.2084414978016866]]
[[-433.96354280488055], [136.38226772833332], [3.2084414978016866]]
[[-433.96354280488055], [135.7693137157799], [3.2084414978016866]]
[[-433.96354280488055], [135.15635970322649], [3.2084414978016866]]
[[-433.96354280488055], [134.54340569067307], [3.2084414978016866]]
[[-433.96354280488055], [133.9304516781196], [3.2084414978016866]]
[[-433.96354280488055], [133.3174976655662], [3.2084414978016866]]
[[-433.96354280488055], [132.70454365301276], [3.2084414978016866]]
[[-433.96354280488055], [132.09158964045935], [3.2084414978016866]]
[[-433.96354280488055], [131.4786356279059], [3.2084414978016866]]
[[-433.96354280488055], [130.86568161535246], [3.2084414978016866]]
[[-433.96354280488055], [130.252727602799], [3.2084414978016866]]
[[-433.96354280488055], [129.63977359024562], [3.2084414978016866]]
[[-433.96354280488055], [129.0268195776922], [3.2084414978016866]]
[[-433.96354280488055], [128.41386556513874], [3.2084414978016866]]
[[-433.96354280488055], [127.80091155258532], [3.2084414978016866]]
[[-433.96354280488055], [127.1879575400319], [3.2084414978016866]]
[[-433.96354280488055], [126.57500352747847], [3.2084414978016866]]
[[-433.96354280488055], [125.96204951492504], [3.2084414978016866]]
[[-433.96354280488055], [125.3490955023716], [3.2084414978016866]]
[[-433.96354280488055], [124.73614148981818], [3.2084414978016866]]
[[-433.96354280488055], [124.12318747726475], [3.2084414978016866]]
[[-433.96354280488055], [123.51023346471133], [3.2084414978016866]]
[[-433.96354280488055], [122.89727945215795], [3.2084414978016866]]
[[-433.96354280488055], [122.28432543960449], [3.2084414978016866]]
[[-433.96354280488055], [121.67137142705107], [3.2084414978016866]]
[[-433.96354280488055], [121.05841741449761], [3.2084414978016866]]
[[-433.96354280488055], [120.44546340194417], [3.2084414978016866]]
[[-433.96354280488055], [119.83250938939076], [3.2084414978016866]]
[[-433.96354280488055], [119.21955537683733], [3.2084414978016866]]
[[-433.96354280488055], [118.60660136428393], [3.2084414978016866]]
[[-433.96354280488055], [117.9936473517305], [3.2084414978016866]]
[[-433.96354280488055], [117.38069333917707], [3.2084414978016866]]
[[-433.96354280488055], [116.76773932662364], [3.2084414978016866]]
[[-433.96354280488055], [116.15478531407018], [3.2084414978016866]]
[[-433.96354280488055], [115.5418313015168], [3.2084414978016866]]
[[-433.96354280488055], [114.92887728896336], [3.2084414978016866]]
[[-433.96354280488055], [114.31592327640989], [3.2084414978016866]]
[[-433.96354280488055], [113.7029692638565], [3.2084414978016866]]
[[-433.96354280488055], [113.09001525130306], [3.2084414978016866]]
[[-433.96354280488055], [112.47706123874964], [3.2084414978016866]]
[[-433.96354280488055], [111.86410722619624], [3.2084414978016866]]
[[-433.96354280488055], [111.2511532136428], [3.2084414978016866]]
[[-433.96354280488055], [110.63819920108935], [3.2084414978016866]]
[[-433.96354280488055], [110.0252451885359], [3.2084414978016866]]
[[-433.96354280488055], [109.4122911759825], [3.2084414978016866]]
[[-433.96354280488055], [108.79933716342906], [3.2084414978016866]]
[[-433.96354280488055], [108.18638315087564], [3.2084414978016866]]
[[-433.96354280488055], [107.57342913832223], [3.2084414978016866]]
[[-433.96354280488055], [106.9604751257688], [3.2084414978016866]]
[[-433.96354280488055], [106.34752111321535], [3.2084414978016866]]
[[-433.96354280488055], [105.73456710066193], [3.2084414978016866]]
[[-433.96354280488055], [105.12161308810853], [3.2084414978016866]]
[[-433.96354280488055], [104.50865907555507], [3.2084414978016866]]
[[-433.96354280488055], [103.89570506300164], [3.2084414978016866]]
[[-433.96354280488055], [103.28275105044824], [3.2084414978016866]]
[[-433.96354280488055], [102.6697970378948], [3.2084414978016866]]
[[-433.96354280488055], [102.05684302534137], [3.2084414978016866]]
[[-433.96354280488055], [101.44388901278795], [3.2084414978016866]]
[[-433.96354280488055], [100.83093500023453], [3.2084414978016866]]
[[-433.96354280488055], [100.21798098768107], [3.2084414978016866]]
[[-433.96354280488055], [99.60502697512766], [3.2084414978016866]]
[[-433.96354280488055], [98.9920729625742], [3.2084414978016866]]
[[-433.96354280488055], [98.37911895002078], [3.2084414978016866]]
[[-433.96354280488055], [97.76616493746737], [3.2084414978016866]]
[[-433.96354280488055], [97.15321092491394], [3.2084414978016866]]
[[-433.96354280488055], [96.54025691236055], [3.2084414978016866]]
[[-433.96354280488055], [95.92730289980709], [3.2084414978016866]]
[[-433.96354280488055], [95.31434888725364], [3.2084414978016866]]
[[-433.96354280488055], [94.70139487470021], [3.2084414978016866]]
[[-433.96354280488055], [94.08844086214683], [3.2084414978016866]]
[[-433.96354280488055], [93.47548684959338], [3.2084414978016866]]
[[-433.96354280488055], [92.86253283703995], [3.2084414978016866]]
[[-433.96354280488055], [92.2495788244865], [3.2084414978016866]]
[[-433.96354280488055], [91.63662481193306], [3.2084414978016866]]
[[-433.96354280488055], [91.02367079937964], [3.2084414978016866]]
[[-433.96354280488055], [90.41071678682624], [3.2084414978016866]]
[[-433.96354280488055], [89.79776277427283], [3.2084414978016866]]
[[-433.96354280488055], [89.18480876171938], [3.2084414978016866]]
[[-433.96354280488055], [88.57185474916595], [3.2084414978016866]]
[[-433.96354280488055], [87.95890073661249], [3.2084414978016866]]
[[-433.96354280488055], [87.3459467240591], [3.2084414978016866]]
[[-433.96354280488055], [86.73299271150569], [3.2084414978016866]]
[[-433.96354280488055], [86.12003869895221], [3.2084414978016866]]
[[-433.96354280488055], [85.50708468639881], [3.2084414978016866]]
[[-433.96354280488055], [84.89413067384538], [3.2084414978016866]]
