[[-388.7356916325029], [111.89271265028134], [101.37531546048058]]
[[-388.7319467090095], [111.34449633724752], [101.37538062095916]]
[[-388.72820186927214], [110.7962922851562], [101.37544577998017]]
[[-388.7244571132876], [110.24810049359601], [101.37551093754394]]
[[-388.7207124410535], [109.69992096215574], [101.37557609365058]]
[[-388.7169678525664], [109.15175369042406], [101.3756412483001]]
[[-388.71322334782417], [108.60359867798974], [101.37570640149238]]
[[-388.7094789268236], [108.0554559244415], [101.37577155322765]]
[[-388.70573458956187], [107.50732542936811], [101.37583670350568]]
[[-389.3419125182185], [107.06150137644181], [100.3656671136232]]
[[-389.33815714378227], [106.51280260825109], [100.36574363952059]]
[[-389.3344018534179], [105.96411612380314], [100.36582016370448]]
[[-389.33064664712236], [105.41544192268545], [100.36589668617535]]
[[-389.32689152489286], [104.86678000448558], [100.36597320693329]]
[[-389.3231364867266], [104.31813036879113], [100.36604972597809]]
[[-389.3193815326208], [103.76949301518957], [100.36612624330996]]
[[-389.31562666257275], [103.22086794326857], [100.36620275892892]]
[[-389.3118718765793], [102.67225515261563], [100.36627927283496]]
[[-389.30811717463786], [102.1236546428185], [100.36635578502842]]
[[-388.66455240565], [101.47869892530748], [101.37655326041579]]
[[-388.6608090730365], [100.93071549986303], [101.37661839321333]]
[[-388.01865614666696], [100.28776687903768], [102.38460603563885]]
[[-386.7422434348322], [99.55223523230353], [104.39398330446352]]
[[-263.93193321398365], [66.70168343149248], [298.1314854106458]]
[[-264.72819189609305], [66.36159744497778], [296.8694546814529]]
[[-265.12640036989677], [65.974424982436], [296.23599597460816]]
[[-265.5252819537253], [65.5865980645448], [295.601466503493]]
[[-265.92483835570545], [65.19811503051679], [294.96586355086816]]
[[-265.9229586044979], [64.76400162209298], [294.96419928240425]]
[[-266.32318639662805], [64.3744967387694], [294.3275243609343]]
[[-266.7240924258053], [63.98433178973538], [293.6897705125951]]
[[-313.2321255239276], [68.62240490374697], [220.2384379354583]]
[[-313.7167525404852], [68.1972624141379], [219.4679987814718]]
[[-314.20228361869096], [67.77132683003202], [218.6961223892228]]
[[-314.68872129066915], [67.34459593010536], [217.9228047332491]]
[[-314.68616955350967], [66.86544232355608], [217.92172157281584]]
[[-315.1735092042329], [66.43747030806522], [217.14696518687856]]
[[-315.1709503605698], [65.95788252370926], [217.14588862179926]]
[[-315.16839156701803], [65.47830413138709], [217.14481207780273]]
[[-315.16583282357595], [64.99873513082277], [217.14373555488874]]
[[-315.65406260274176], [64.56862943875525], [216.36754963725946]]
[[-315.65149673121863], [64.08862550759007], [216.36647973576225]]
[[-315.64893090998993], [63.60863098512392], [216.36540985523663]]
[[-315.6463651390541], [63.12864587108017], [216.36433999568203]]
[[-315.15303985796095], [62.601030994714165], [217.1383532565318]]
[[-315.1504814151466], [62.12151833890408], [217.1372768600986]]
[[-315.1479230224318], [61.64201507292097], [217.13620048474365]]
[[-315.14536467981503], [61.16252119648894], [217.13512413046624]]
[[-315.14280638729485], [60.68303670933234], [217.13404779726545]]
[[-315.14024814486964], [60.203561611175246], [217.13297148514073]]
[[-315.13768995253804], [59.72409590174199], [217.13189519409173]]
